registro_id,fila_origen,cliente_id,nombre_cliente,segmento_cliente,segmento_cliente_observado,segmento_conflictivo,segmento_metodo_resolucion,ciudad,ciudad_recuperada,ciudad_desconocida,edad,ingreso_estimado,producto,tipo_producto,saldo_producto,saldo_recuperado,saldo_desconocido,saldo_negativo,saldo_outlier_iqr,cupo_credito,fecha_vencimiento,fecha_movimiento,categoria_consumo,monto_consumo,consumo_outlier_iqr,canal,estado_producto
REG-000002,2,C000728,Cliente 0728,Mass,Mass,False,unico,Loja,False,False,50,1019.90,Cuenta de Ahorros,Depósito,1498.82,False,False,False,False,,,2026-01-15,,0.00,False,Branch,Activo
REG-000003,3,C001264,Cliente 1264,Mass,Mass,False,unico,Guayaquil,False,False,57,471.10,Crédito Vehicular,Deuda,20725.80,False,False,False,False,,2029-11-14,2026-03-20,,0.00,False,App,Activo
REG-000004,4,C001515,Cliente 1515,Joven,Joven,False,unico,Manta,False,False,45,639.34,Tarjeta de Crédito,Deuda,689.27,False,False,False,False,1200.00,2029-03-16,2025-11-06,Food,16.63,False,Branch,Activo
REG-000005,5,C002171,Cliente 2171,Mass,Mass,True,moda,Guayaquil,False,False,23,1159.30,Cuenta de Ahorros,Depósito,5001.88,False,False,False,False,,,2025-06-09,,0.00,False,App,Activo
REG-000006,6,C001848,Cliente 1848,Premium,Premium,False,unico,Guayaquil,False,False,46,3037.26,Tarjeta de Crédito,Deuda,1955.00,False,False,False,False,8200.00,2028-12-28,2025-03-04,Food,51.91,False,App,Activo
REG-000007,7,C000651,Cliente 0651,Joven,Joven,False,unico,Cuenca,False,False,49,1023.60,Cuenta de Ahorros,Depósito,4082.56,False,False,False,False,,,2025-07-28,,0.00,False,Web,Activo
REG-000008,8,C001846,Cliente 1846,Mass,Mass,False,unico,Ambato,False,False,50,829.13,Tarjeta de Crédito,Deuda,649.01,False,False,False,False,1200.00,2029-07-08,2026-04-10,Education,14.63,False,Web,Activo
REG-000009,9,C000851,Cliente 0851,Joven,Joven,False,unico,Quito,False,False,24,1043.27,Tarjeta de Crédito,Deuda,363.70,False,False,False,False,1100.00,2027-03-25,2025-09-01,Technology,48.49,False,POS,Activo
REG-000010,10,C000041,Cliente 0041,Joven,Joven,False,unico,Quito,False,False,42,591.95,Crédito Hipotecario,Deuda,63176.59,False,False,False,False,,2029-06-21,2025-10-03,,0.00,False,Web,Activo
REG-000011,11,C000856,Cliente 0856,Premium,Premium,False,unico,Quito,False,False,36,4550.48,Crédito Vehicular,Deuda,17442.60,False,False,False,False,,2027-06-28,2025-11-21,,0.00,False,App,Activo
REG-000012,12,C000562,Cliente 0562,Mass,Mass,False,unico,Manta,False,False,22,963.67,Tarjeta de Crédito,Deuda,855.77,False,False,False,False,1800.00,2027-09-25,2025-12-23,Supermarket,46.84,False,Branch,Activo
REG-000013,13,C001948,Cliente 1948,Joven,Joven,True,moda,Quito,False,False,43,432.69,Tarjeta de Crédito,Deuda,482.45,False,False,False,False,1200.00,2026-11-13,2026-08-28,Health,5.44,False,POS,Activo
REG-000014,14,C001174,Cliente 1174,Mass,Mass,False,unico,Guayaquil,False,False,42,729.85,Cuenta Corriente,Depósito,1528.40,False,False,False,False,,,2026-04-13,,0.00,False,Web,Activo
REG-000015,15,C000431,Cliente 0431,Mass,Mass,False,unico,Guayaquil,False,False,46,943.23,Tarjeta de Crédito,Deuda,1312.74,False,False,False,False,2800.00,2030-04-01,2025-09-11,Others,130.45,False,POS,Activo
REG-000016,16,C002010,Cliente 2010,Premium,Premium,False,unico,Ambato,False,False,35,4058.22,Cuenta Corriente,Depósito,6441.10,False,False,False,False,,,2025-08-20,,0.00,False,ATM,Activo
REG-000017,17,C002115,Cliente 2115,Joven,Joven,False,unico,Guayaquil,False,False,18,703.16,Tarjeta de Crédito,Deuda,0.00,False,False,False,False,1000.00,2027-04-26,2026-06-14,Health,10.65,False,POS,Activo
REG-000018,18,C001604,Cliente 1604,Mass,Mass,False,unico,Guayaquil,False,False,21,1058.16,Crédito Vehicular,Deuda,23759.75,False,False,False,False,,2030-08-21,2026-02-25,,0.00,False,Branch,Activo
REG-000019,19,C002190,Cliente 2190,Mass,Mass,False,unico,Quito,False,False,38,1141.09,Cuenta de Ahorros,Depósito,2527.68,False,False,False,False,,,2025-06-09,,0.00,False,Branch,Activo
REG-000020,20,C002059,Cliente 2059,Mass,Mass,False,unico,Quito,False,False,59,514.32,Tarjeta de Crédito,Deuda,358.44,False,False,False,False,1500.00,2029-01-16,2025-06-30,Technology,63.87,False,App,Activo
REG-000021,21,C000154,Cliente 0154,Premium,Premium,True,moda,Quito,False,False,34,2386.12,Tarjeta de Crédito,Deuda,347.24,False,False,False,False,5800.00,2026-10-13,2026-01-25,Travel,387.56,True,App,Activo
REG-000022,22,C000801,Cliente 0801,Mass,Mass,False,unico,Cuenca,False,False,39,1308.02,Tarjeta de Crédito,Deuda,0.00,False,False,False,False,2200.00,2029-08-21,2026-05-14,Streaming,42.87,False,POS,Activo
REG-000023,23,C000873,Cliente 0873,Mass,Mass,False,unico,Guayaquil,False,False,53,599.16,Crédito Hipotecario,Deuda,74186.47,False,False,False,False,,2027-05-18,2025-10-24,,0.00,False,Branch,Activo
REG-000024,24,C001939,Cliente 1939,Mass,Mass,False,unico,Guayaquil,False,False,18,616.40,Tarjeta de Crédito,Deuda,427.56,False,False,False,False,1500.00,2028-10-25,2026-02-15,Entertainment,51.99,False,POS,Activo
REG-000025,25,C001780,Cliente 1780,Affluent,Affluent,False,unico,Quito,False,False,51,3527.59,Tarjeta de Crédito,Deuda,2240.35,False,False,False,False,7100.00,2029-12-07,2026-06-13,Food,116.85,False,POS,Activo
